iso3,country,year,unemployment
AUS,Australia,1978,6.3267
AUS,Australia,1979,6.2545
AUS,Australia,1980,6.0928
AUS,Australia,1981,5.7645
AUS,Australia,1982,7.1669
AUS,Australia,1983,9.9822
AUS,Australia,1984,8.9893
AUS,Australia,1985,8.2547
AUS,Australia,1986,8.0674
AUS,Australia,1987,8.0849
AUS,Australia,1988,7.2097
AUS,Australia,1989,6.1544
AUS,Australia,1990,6.9472
AUS,Australia,1991,9.6064
AUS,Australia,1992,10.7562
AUS,Australia,1993,10.8824
AUS,Australia,1994,9.7145
AUS,Australia,1995,8.473
AUS,Australia,1996,8.5149
AUS,Australia,1997,8.3635
AUS,Australia,1998,7.6842
AUS,Australia,1999,6.8691
AUS,Australia,2000,6.2785
AUS,Australia,2001,6.7708
AUS,Australia,2002,6.3673
AUS,Australia,2003,5.9307
AUS,Australia,2004,5.3924
AUS,Australia,2005,5.0326
AUS,Australia,2006,4.7739
AUS,Australia,2007,4.3709
AUS,Australia,2008,4.2425
AUS,Australia,2009,5.5693
AUS,Australia,2010,5.2088
AUS,Australia,2011,5.0827
AUS,Australia,2012,5.2257
AUS,Australia,2013,5.6689
AUS,Australia,2014,6.0623
AUS,Australia,2015,6.0584
AUS,Australia,2016,5.7189
AUS,Australia,2017,5.6064
AUS,Australia,2018,5.304
AUS,Australia,2019,5.1732
AUS,Australia,2020,6.4784
AUS,Australia,2021,5.1234
AUS,Australia,2022,3.7196
AUS,Australia,2023,3.6943
AUS,Australia,2024,4.0181
AUS,Australia,2025,4.203
AUS,Australia,2026,4.0753
AUT,Austria,1993,3.9583
AUT,Austria,1994,3.8333
AUT,Austria,1995,4.2417
AUT,Austria,1996,4.7167
AUT,Austria,1997,4.7583
AUT,Austria,1998,4.7083
AUT,Austria,1999,4.1417
AUT,Austria,2000,3.8833
AUT,Austria,2001,4.0083
AUT,Austria,2002,4.3917
AUT,Austria,2003,4.7917
AUT,Austria,2004,5.875
AUT,Austria,2005,6.025
AUT,Austria,2006,5.6
AUT,Austria,2007,5.1917
AUT,Austria,2008,4.4167
AUT,Austria,2009,5.6917
AUT,Austria,2010,5.1917
AUT,Austria,2011,4.875
AUT,Austria,2012,5.2417
AUT,Austria,2013,5.7167
AUT,Austria,2014,6.0333
AUT,Austria,2015,6.1583
AUT,Austria,2016,6.475
AUT,Austria,2017,5.95
AUT,Austria,2018,5.225
AUT,Austria,2019,4.8167
AUT,Austria,2020,6.0917
AUT,Austria,2021,6.1667
AUT,Austria,2022,4.7333
AUT,Austria,2023,5.1417
AUT,Austria,2024,5.175
AUT,Austria,2025,5.6917
AUT,Austria,2026,5.6
BEL,Belgium,1983,10.7417
BEL,Belgium,1984,10.825
BEL,Belgium,1985,10.1167
BEL,Belgium,1986,10.05
BEL,Belgium,1987,9.8083
BEL,Belgium,1988,8.8333
BEL,Belgium,1989,7.3667
BEL,Belgium,1990,6.5583
BEL,Belgium,1991,6.45
BEL,Belgium,1992,7.0917
BEL,Belgium,1993,8.625
BEL,Belgium,1994,9.75
BEL,Belgium,1995,9.6833
BEL,Belgium,1996,9.55
BEL,Belgium,1997,9.2167
BEL,Belgium,1998,9.3417
BEL,Belgium,1999,8.425
BEL,Belgium,2000,6.8583
BEL,Belgium,2001,6.5667
BEL,Belgium,2002,7.525
BEL,Belgium,2003,8.175
BEL,Belgium,2004,8.3833
BEL,Belgium,2005,8.475
BEL,Belgium,2006,8.2667
BEL,Belgium,2007,7.4917
BEL,Belgium,2008,6.9667
BEL,Belgium,2009,7.9917
BEL,Belgium,2010,8.3917
BEL,Belgium,2011,7.225
BEL,Belgium,2012,7.6417
BEL,Belgium,2013,8.5583
BEL,Belgium,2014,8.65
BEL,Belgium,2015,8.6583
BEL,Belgium,2016,7.8333
BEL,Belgium,2017,7.1
BEL,Belgium,2018,5.9667
BEL,Belgium,2019,5.375
BEL,Belgium,2020,5.5583
BEL,Belgium,2021,6.2833
BEL,Belgium,2022,5.5583
BEL,Belgium,2023,5.5333
BEL,Belgium,2024,5.725
BEL,Belgium,2025,6.2083
BEL,Belgium,2026,6.4
CAN,Canada,1955,4.2833
CAN,Canada,1956,3.3
CAN,Canada,1957,4.75
CAN,Canada,1958,7.1333
CAN,Canada,1959,5.875
CAN,Canada,1960,7.05
CAN,Canada,1961,7.0833
CAN,Canada,1962,5.8667
CAN,Canada,1963,5.4833
CAN,Canada,1964,4.6583
CAN,Canada,1965,3.8667
CAN,Canada,1966,3.325
CAN,Canada,1967,3.8167
CAN,Canada,1968,4.4917
CAN,Canada,1969,4.4083
CAN,Canada,1970,5.725
CAN,Canada,1971,6.1833
CAN,Canada,1972,6.2167
CAN,Canada,1973,5.55
CAN,Canada,1974,5.3417
CAN,Canada,1975,6.9083
CAN,Canada,1976,7.1
CAN,Canada,1977,8.0667
CAN,Canada,1978,8.3667
CAN,Canada,1979,7.5
CAN,Canada,1980,7.5167
CAN,Canada,1981,7.6167
CAN,Canada,1982,11.1
CAN,Canada,1983,12.0
CAN,Canada,1984,11.375
CAN,Canada,1985,10.5083
CAN,Canada,1986,9.6083
CAN,Canada,1987,8.8
CAN,Canada,1988,7.775
CAN,Canada,1989,7.5083
CAN,Canada,1990,8.15
CAN,Canada,1991,10.3167
CAN,Canada,1992,11.2167
CAN,Canada,1993,11.375
CAN,Canada,1994,10.3917
CAN,Canada,1995,9.4667
CAN,Canada,1996,9.6083
CAN,Canada,1997,9.0917
CAN,Canada,1998,8.2917
CAN,Canada,1999,7.5667
CAN,Canada,2000,6.8333
CAN,Canada,2001,7.225
CAN,Canada,2002,7.6833
CAN,Canada,2003,7.5917
CAN,Canada,2004,7.15
CAN,Canada,2005,6.75
CAN,Canada,2006,6.45
CAN,Canada,2007,6.1583
CAN,Canada,2008,6.3083
CAN,Canada,2009,8.475
CAN,Canada,2010,8.1583
CAN,Canada,2011,7.625
CAN,Canada,2012,7.4417
CAN,Canada,2013,7.2083
CAN,Canada,2014,7.0583
CAN,Canada,2015,7.0
CAN,Canada,2016,7.05
CAN,Canada,2017,6.4167
CAN,Canada,2018,5.8333
CAN,Canada,2019,5.6833
CAN,Canada,2020,9.7417
CAN,Canada,2021,7.4833
CAN,Canada,2022,5.25
CAN,Canada,2023,5.3917
CAN,Canada,2024,6.3667
CAN,Canada,2025,6.8583
CAN,Canada,2026,6.5
CHL,Chile,1986,12.0959
CHL,Chile,1987,10.9173
CHL,Chile,1988,9.7358
CHL,Chile,1989,7.91
CHL,Chile,1990,7.7925
CHL,Chile,1991,8.1576
CHL,Chile,1992,6.6387
CHL,Chile,1993,6.5451
CHL,Chile,1994,7.8457
CHL,Chile,1995,7.3228
CHL,Chile,1996,6.3514
CHL,Chile,1997,6.1021
CHL,Chile,1998,6.4116
CHL,Chile,1999,10.0981
CHL,Chile,2000,9.7244
CHL,Chile,2001,9.8541
CHL,Chile,2002,9.7857
CHL,Chile,2003,9.5249
CHL,Chile,2004,10.033
CHL,Chile,2005,9.2286
CHL,Chile,2006,7.811
CHL,Chile,2007,7.1153
CHL,Chile,2008,7.8092
CHL,Chile,2009,9.6907
CHL,Chile,2010,8.279
CHL,Chile,2011,7.3262
CHL,Chile,2012,6.5806
CHL,Chile,2013,6.1286
CHL,Chile,2014,6.4229
CHL,Chile,2015,6.3673
CHL,Chile,2016,6.686
CHL,Chile,2017,6.9772
CHL,Chile,2018,7.3628
CHL,Chile,2019,7.2447
CHL,Chile,2020,10.7823
CHL,Chile,2021,8.8524
CHL,Chile,2022,7.8685
CHL,Chile,2023,8.6751
CHL,Chile,2024,8.4634
CHL,Chile,2025,8.5614
CZE,Czechia,1993,4.3167
CZE,Czechia,1994,4.2917
CZE,Czechia,1995,4.0167
CZE,Czechia,1996,3.8917
CZE,Czechia,1997,4.775
CZE,Czechia,1998,6.4667
CZE,Czechia,1999,8.7083
CZE,Czechia,2000,8.7583
CZE,Czechia,2001,8.125
CZE,Czechia,2002,7.2833
CZE,Czechia,2003,7.7667
CZE,Czechia,2004,8.3083
CZE,Czechia,2005,7.9333
CZE,Czechia,2006,7.1417
CZE,Czechia,2007,5.3333
CZE,Czechia,2008,4.4083
CZE,Czechia,2009,6.6917
CZE,Czechia,2010,7.3
CZE,Czechia,2011,6.7083
CZE,Czechia,2012,7.0
CZE,Czechia,2013,6.975
CZE,Czechia,2014,6.125
CZE,Czechia,2015,5.0667
CZE,Czechia,2016,3.9583
CZE,Czechia,2017,2.8917
CZE,Czechia,2018,2.2583
CZE,Czechia,2019,2.025
CZE,Czechia,2020,2.5583
CZE,Czechia,2021,2.8083
CZE,Czechia,2022,2.3833
CZE,Czechia,2023,2.6167
CZE,Czechia,2024,2.75
CZE,Czechia,2025,2.9
CZE,Czechia,2026,3.2
DNK,Denmark,1983,8.375
DNK,Denmark,1984,7.925
DNK,Denmark,1985,6.6167
DNK,Denmark,1986,4.9833
DNK,Denmark,1987,5.0
DNK,Denmark,1988,5.6583
DNK,Denmark,1989,6.825
DNK,Denmark,1990,7.1667
DNK,Denmark,1991,7.8667
DNK,Denmark,1992,8.6083
DNK,Denmark,1993,9.5333
DNK,Denmark,1994,7.7333
DNK,Denmark,1995,6.7583
DNK,Denmark,1996,6.3167
DNK,Denmark,1997,5.2417
DNK,Denmark,1998,4.8833
DNK,Denmark,1999,5.1083
DNK,Denmark,2000,4.3167
DNK,Denmark,2001,4.5083
DNK,Denmark,2002,4.6417
DNK,Denmark,2003,5.4333
DNK,Denmark,2004,5.5167
DNK,Denmark,2005,4.8
DNK,Denmark,2006,3.9
DNK,Denmark,2007,3.775
DNK,Denmark,2008,3.7
DNK,Denmark,2009,6.4417
DNK,Denmark,2010,7.75
DNK,Denmark,2011,7.7583
DNK,Denmark,2012,7.7917
DNK,Denmark,2013,7.3667
DNK,Denmark,2014,6.9167
DNK,Denmark,2015,6.2667
DNK,Denmark,2016,5.9833
DNK,Denmark,2017,5.825
DNK,Denmark,2018,5.125
DNK,Denmark,2019,5.0
DNK,Denmark,2020,5.625
DNK,Denmark,2021,5.0833
DNK,Denmark,2022,4.4417
DNK,Denmark,2023,5.1083
DNK,Denmark,2024,6.1917
DNK,Denmark,2025,6.375
DNK,Denmark,2026,7.5
EST,Estonia,1997,9.65
EST,Estonia,1998,9.175
EST,Estonia,1999,11.35
EST,Estonia,2000,14.225
EST,Estonia,2001,13.0333
EST,Estonia,2002,11.325
EST,Estonia,2003,10.45
EST,Estonia,2004,9.95
EST,Estonia,2005,8.0
EST,Estonia,2006,5.95
EST,Estonia,2007,4.4917
EST,Estonia,2008,5.6417
EST,Estonia,2009,13.5917
EST,Estonia,2010,16.5167
EST,Estonia,2011,12.3083
EST,Estonia,2012,9.8917
EST,Estonia,2013,8.4833
EST,Estonia,2014,7.325
EST,Estonia,2015,6.375
EST,Estonia,2016,6.8417
EST,Estonia,2017,5.825
EST,Estonia,2018,5.375
EST,Estonia,2019,4.4833
EST,Estonia,2020,6.8917
EST,Estonia,2021,6.1917
EST,Estonia,2022,5.5917
EST,Estonia,2023,6.4417
EST,Estonia,2024,7.6167
EST,Estonia,2025,7.4417
EST,Estonia,2026,6.3
FIN,Finland,1988,4.1667
FIN,Finland,1989,3.1
FIN,Finland,1990,3.1667
FIN,Finland,1991,6.6833
FIN,Finland,1992,11.775
FIN,Finland,1993,16.3417
FIN,Finland,1994,16.575
FIN,Finland,1995,15.0333
FIN,Finland,1996,14.55
FIN,Finland,1997,12.675
FIN,Finland,1998,11.375
FIN,Finland,1999,10.2833
FIN,Finland,2000,9.7417
FIN,Finland,2001,9.1333
FIN,Finland,2002,9.0833
FIN,Finland,2003,9.0333
FIN,Finland,2004,8.8167
FIN,Finland,2005,8.375
FIN,Finland,2006,7.6917
FIN,Finland,2007,6.8417
FIN,Finland,2008,6.3667
FIN,Finland,2009,8.3667
FIN,Finland,2010,8.5583
FIN,Finland,2011,7.975
FIN,Finland,2012,7.825
FIN,Finland,2013,8.2833
FIN,Finland,2014,8.7583
FIN,Finland,2015,9.4333
FIN,Finland,2016,8.9083
FIN,Finland,2017,8.7333
FIN,Finland,2018,7.425
FIN,Finland,2019,6.75
FIN,Finland,2020,7.7583
FIN,Finland,2021,7.6083
FIN,Finland,2022,6.7667
FIN,Finland,2023,7.2167
FIN,Finland,2024,8.4
FIN,Finland,2025,9.7333
FIN,Finland,2026,10.0
FRA,France,1983,8.7583
FRA,France,1984,10.0667
FRA,France,1985,10.4167
FRA,France,1986,10.575
FRA,France,1987,10.6333
FRA,France,1988,10.075
FRA,France,1989,9.65
FRA,France,1990,9.375
FRA,France,1991,9.6
FRA,France,1992,10.6417
FRA,France,1993,11.85
FRA,France,1994,12.275
FRA,France,1995,11.9583
FRA,France,1996,12.4
FRA,France,1997,12.35
FRA,France,1998,12.05
FRA,France,1999,11.3167
FRA,France,2000,9.525
FRA,France,2001,8.7583
FRA,France,2002,8.6417
FRA,France,2003,8.5167
FRA,France,2004,8.8833
FRA,France,2005,8.8833
FRA,France,2006,8.85
FRA,France,2007,8.025
FRA,France,2008,7.4333
FRA,France,2009,9.125
FRA,France,2010,9.2667
FRA,France,2011,9.2167
FRA,France,2012,9.7833
FRA,France,2013,10.3083
FRA,France,2014,10.2583
FRA,France,2015,10.3417
FRA,France,2016,10.0583
FRA,France,2017,9.4083
FRA,France,2018,9.0167
FRA,France,2019,8.4333
FRA,France,2020,8.025
FRA,France,2021,7.8667
FRA,France,2022,7.3083
FRA,France,2023,7.3333
FRA,France,2024,7.4
FRA,France,2025,7.6667
FRA,France,2026,7.7
DEU,Germany,1991,5.5167
DEU,Germany,1992,6.5917
DEU,Germany,1993,7.775
DEU,Germany,1994,8.425
DEU,Germany,1995,8.2333
DEU,Germany,1996,8.9083
DEU,Germany,1997,9.6583
DEU,Germany,1998,9.3833
DEU,Germany,1999,8.5583
DEU,Germany,2000,7.95
DEU,Germany,2001,7.8
DEU,Germany,2002,8.6
DEU,Germany,2003,9.7083
DEU,Germany,2004,10.3333
DEU,Germany,2005,11.0167
DEU,Germany,2006,10.05
DEU,Germany,2007,8.575
DEU,Germany,2008,7.4
DEU,Germany,2009,7.3667
DEU,Germany,2010,6.5833
DEU,Germany,2011,5.525
DEU,Germany,2012,5.0583
DEU,Germany,2013,4.9333
DEU,Germany,2014,4.7167
DEU,Germany,2015,4.35
DEU,Germany,2016,3.9083
DEU,Germany,2017,3.5167
DEU,Germany,2018,3.1917
DEU,Germany,2019,2.95
DEU,Germany,2020,3.65
DEU,Germany,2021,3.6083
DEU,Germany,2022,3.1417
DEU,Germany,2023,3.0583
DEU,Germany,2024,3.3667
DEU,Germany,2025,3.7583
DEU,Germany,2026,4.0
GRC,Greece,1998,11.1111
GRC,Greece,1999,11.95
GRC,Greece,2000,11.225
GRC,Greece,2001,10.675
GRC,Greece,2002,10.3083
GRC,Greece,2003,9.7583
GRC,Greece,2004,10.6
GRC,Greece,2005,10.025
GRC,Greece,2006,9.025
GRC,Greece,2007,8.425
GRC,Greece,2008,7.7917
GRC,Greece,2009,9.7583
GRC,Greece,2010,12.9333
GRC,Greece,2011,18.0833
GRC,Greece,2012,24.8083
GRC,Greece,2013,27.7917
GRC,Greece,2014,26.6333
GRC,Greece,2015,25.0
GRC,Greece,2016,23.8917
GRC,Greece,2017,21.825
GRC,Greece,2018,19.7583
GRC,Greece,2019,17.8667
GRC,Greece,2020,17.6083
GRC,Greece,2021,14.7917
GRC,Greece,2022,12.4333
GRC,Greece,2023,11.05
GRC,Greece,2024,10.125
GRC,Greece,2025,8.8833
GRC,Greece,2026,7.7
HUN,Hungary,1996,9.8417
HUN,Hungary,1997,9.0583
HUN,Hungary,1998,8.6583
HUN,Hungary,1999,6.875
HUN,Hungary,2000,6.2417
HUN,Hungary,2001,5.575
HUN,Hungary,2002,5.5917
HUN,Hungary,2003,5.725
HUN,Hungary,2004,6.0667
HUN,Hungary,2005,7.175
HUN,Hungary,2006,7.4583
HUN,Hungary,2007,7.3667
HUN,Hungary,2008,7.8083
HUN,Hungary,2009,9.6917
HUN,Hungary,2010,10.7917
HUN,Hungary,2011,10.65
HUN,Hungary,2012,10.5833
HUN,Hungary,2013,9.9167
HUN,Hungary,2014,7.525
HUN,Hungary,2015,6.5333
HUN,Hungary,2016,4.875
HUN,Hungary,2017,4.0333
HUN,Hungary,2018,3.4833
HUN,Hungary,2019,3.2583
HUN,Hungary,2020,4.1333
HUN,Hungary,2021,4.0417
HUN,Hungary,2022,3.6667
HUN,Hungary,2023,4.075
HUN,Hungary,2024,4.3667
HUN,Hungary,2025,4.3583
HUN,Hungary,2026,4.5
ISL,Iceland,2003,3.5167
ISL,Iceland,2004,3.3083
ISL,Iceland,2005,3.0083
ISL,Iceland,2006,3.0833
ISL,Iceland,2007,2.7167
ISL,Iceland,2008,3.75
ISL,Iceland,2009,7.8167
ISL,Iceland,2010,8.7333
ISL,Iceland,2011,8.1083
ISL,Iceland,2012,6.975
ISL,Iceland,2013,6.2583
ISL,Iceland,2014,5.6417
ISL,Iceland,2015,4.5917
ISL,Iceland,2016,3.55
ISL,Iceland,2017,3.2667
ISL,Iceland,2018,3.1667
ISL,Iceland,2019,3.875
ISL,Iceland,2020,5.9083
ISL,Iceland,2021,5.4
ISL,Iceland,2022,3.575
ISL,Iceland,2023,3.5083
ISL,Iceland,2024,3.4417
ISL,Iceland,2025,4.3167
ISL,Iceland,2026,5.3
IRL,Ireland,1983,13.9
IRL,Ireland,1984,15.5
IRL,Ireland,1985,16.8
IRL,Ireland,1986,16.8167
IRL,Ireland,1987,16.6167
IRL,Ireland,1988,16.2083
IRL,Ireland,1989,14.725
IRL,Ireland,1990,13.4167
IRL,Ireland,1991,14.7333
IRL,Ireland,1992,15.4
IRL,Ireland,1993,15.6333
IRL,Ireland,1994,14.35
IRL,Ireland,1995,12.2833
IRL,Ireland,1996,11.65
IRL,Ireland,1997,9.8583
IRL,Ireland,1998,7.55
IRL,Ireland,1999,5.9167
IRL,Ireland,2000,4.3833
IRL,Ireland,2001,4.1917
IRL,Ireland,2002,4.7333
IRL,Ireland,2003,4.8417
IRL,Ireland,2004,4.75
IRL,Ireland,2005,4.6333
IRL,Ireland,2006,4.7667
IRL,Ireland,2007,5.0
IRL,Ireland,2008,6.8
IRL,Ireland,2009,12.65
IRL,Ireland,2010,14.6
IRL,Ireland,2011,15.4083
IRL,Ireland,2012,15.4917
IRL,Ireland,2013,13.775
IRL,Ireland,2014,11.8917
IRL,Ireland,2015,9.9167
IRL,Ireland,2016,8.3833
IRL,Ireland,2017,6.7583
IRL,Ireland,2018,5.8167
IRL,Ireland,2019,4.9917
IRL,Ireland,2020,5.85
IRL,Ireland,2021,6.2583
IRL,Ireland,2022,4.45
IRL,Ireland,2023,4.3167
IRL,Ireland,2024,4.325
IRL,Ireland,2025,4.6667
IRL,Ireland,2026,4.7
ISR,Israel,2012,6.8761
ISR,Israel,2013,6.2121
ISR,Israel,2014,5.8814
ISR,Israel,2015,5.2371
ISR,Israel,2016,4.833
ISR,Israel,2017,4.2277
ISR,Israel,2018,3.9825
ISR,Israel,2019,3.8187
ISR,Israel,2020,4.2937
ISR,Israel,2021,5.0116
ISR,Israel,2022,3.7668
ISR,Israel,2023,3.4443
ISR,Israel,2024,2.9816
ISR,Israel,2025,2.9417
ISR,Israel,2026,3.1212
ITA,Italy,1983,7.3667
ITA,Italy,1984,7.8333
ITA,Italy,1985,8.1667
ITA,Italy,1986,8.8667
ITA,Italy,1987,9.6167
ITA,Italy,1988,9.6833
ITA,Italy,1989,9.6667
ITA,Italy,1990,8.8583
ITA,Italy,1991,8.5333
ITA,Italy,1992,8.8083
ITA,Italy,1993,9.8333
ITA,Italy,1994,10.6333
ITA,Italy,1995,11.15
ITA,Italy,1996,11.15
ITA,Italy,1997,11.2417
ITA,Italy,1998,11.3333
ITA,Italy,1999,10.9417
ITA,Italy,2000,10.1
ITA,Italy,2001,9.1
ITA,Italy,2002,8.6083
ITA,Italy,2003,8.45
ITA,Italy,2004,8.0167
ITA,Italy,2005,7.7667
ITA,Italy,2006,6.8667
ITA,Italy,2007,6.2
ITA,Italy,2008,6.7833
ITA,Italy,2009,7.8583
ITA,Italy,2010,8.5
ITA,Italy,2011,8.5833
ITA,Italy,2012,10.9167
ITA,Italy,2013,12.35
ITA,Italy,2014,12.7917
ITA,Italy,2015,12.0333
ITA,Italy,2016,11.7167
ITA,Italy,2017,11.2917
ITA,Italy,2018,10.6083
ITA,Italy,2019,9.9
ITA,Italy,2020,9.3417
ITA,Italy,2021,9.55
ITA,Italy,2022,8.1083
ITA,Italy,2023,7.6833
ITA,Italy,2024,6.5583
ITA,Italy,2025,6.05
ITA,Italy,2026,5.1
JPN,Japan,1955,2.5167
JPN,Japan,1956,2.3
JPN,Japan,1957,1.925
JPN,Japan,1958,2.0667
JPN,Japan,1959,2.2083
JPN,Japan,1960,1.6167
JPN,Japan,1961,1.4417
JPN,Japan,1962,1.2917
JPN,Japan,1963,1.2583
JPN,Japan,1964,1.1667
JPN,Japan,1965,1.2333
JPN,Japan,1966,1.3167
JPN,Japan,1967,1.25
JPN,Japan,1968,1.175
JPN,Japan,1969,1.1333
JPN,Japan,1970,1.175
JPN,Japan,1971,1.2333
